AcceptedTaxonID	CommonName	TransliteratedName	Country	Area	Language	ReferenceID	
107350	gewone spinkrab				Dutch	685	
107350	spinkrab				Dutch	140199	
107350	grote spinkrab				Dutch	51	
107350	Europese spinkrab				Dutch	51	
107258	wolkrab				Dutch	51	
107347	grote spinkrab				Dutch		
107258	sponge crab				English	51	
107350	common spider crab				English	51	
107350	spinous spider crab				English	51	
241022	redeye sponge crab				English	102812	
241032	sicklefoot frog crab				English	102812	
421900	muricate frog crab				English	102812	
209574	spanner crab				English	102812	
440246	furrowed frog crab				English	102812	
421903	Gulf frog crab				English	102812	
441333	globose sand crab				English	102812	
422004	channelnose spider crab				English	102812	
158440	cryptic teardrop crab				English	102812	
441652	dwarf teardrop crab				English	102812	
394995	bathyal swimming crab				English	102812	
422050	sharpoar swimming crab				English	102812	
107412	Say mud crab				English	102812	
443955	Gulf grassflat crab				English	102812	
422078	truncate rubble crab				English	102812	
443944	California burrowing crab				English	102812	
422131	eroded mud crab				English	102812	
211013	teddy-bear crab				English	102812	
107258	dromie				French	51	
107258	crabe dormeur				French	51	
107350	araignée de mer				French	51	
107350	crabe araignée				French	51	
107347	grande araignée de mer				French	9269	
107350	centolo				Galician		
107258	Πατάτα				Modern Greek (1453-)	147411	
107348	Μικρή καβουρομάνα				Modern Greek (1453-)	147411	
107349	Κόκκινη καβουρομάνα				Modern Greek (1453-)	147411	
107350	Καβουρομάνα				Modern Greek (1453-)	147411	
209574	Päpa'i kualoa				Hawaiian	102812	
107350	granceola  				Italian	147411	
107258	granchio facchino 				Italian		
107258	cangrejo dormilón				Spanish	163039	
