name_code	common_name	database_id
fer-5215	Smooth cliffbrake	140
fer-s.5215	Smooth cliffbrake	140
fer-s.5216	Missouri cliffbrake	140
fer-s.5217	Western dwarf cliffbrake	140
fer-s.5218	Smooth cliffbrake	140
fer-5220	Intermediate cliffbrake	140
fer-5224	Lyngholm's cliffbrake	140
fer-5225	Bird's Foot cliffbrake	140
fer-s.5225	Bird's Foot cliffbrake	140
fer-5231	Ovate-leaved cliffbrake	140
fer-5240	New Zealand Cliff brake	140
fer-5245	Ternate-leaved cliffbrake	140
fer-5245	Trans-Pecos cliffbrake	140
fer-s.5245	Ternate-leaved cliffbrake	140
fer-s.5245	Trans-Pecos cliffbrake	140
fer-5251	Spiny cliffbrake	140
fer-5253	Wright's cliffbrake	140
fer-5259	Cochise scaly cloakfern	140
fer-s.5259	Cochise scaly cloakfern	140
fer-s.5260	Chihuahua scaly cloakfern	140
fer-s.5261	Arizona scaly cloakfern	140
fer-5264	Hybrid cloakfern	140
fer-5267	Wavy Scaly Cloak Fern	140
fer-5268	Windham's scaly cloakfern	140
fer-5271	Pale Silverback Fern	140
fer-5272	Goldback Fern	140
fer-s.5272	Goldback Fern	140
fer-s.5275	Maxon's goldback fern	140
fer-s.5276	Silverback fern	140
fer-5282	Silver Cloak fern	140
fer-5296	Floury Cloak fern	140
fer-5340	California Lace Fern	140
fer-5341	Tufted lacefern	140
fer-5342	Indian's-dream	140
fer-5348	Arizona Lipfern	140
fer-5359	Glandular Lipfern	140
fer-5367	Strawberry fern	140
fer-5367	Star fern	140
fer-5457	Hand fern	140
fer-5457	Digit fern	140
fer-5480	Foreign Cloak Fern	140
fer-5483	Scaled cloak fern	140
fer-5490	California Cloak Fern	140
fer-s.5490	California Cloak Fern	140
fer-5492	Copel.'s Cloak Fern	140
fer-s.5493	Copelands cloak fern	140
fer-5503	Gray's Cloak Fern	140
fer-s.5503	Gray's Cloak Fern	140
fer-s.5504	Sonoran cloak fern	140
fer-5505	Gregg's Cloak Fern	140
fer-5511	Lemmon's Cloak Fern	140
fer-5520	Maxon's cloak fern	140
fer-5522	Ala de sacre	140
fer-5529	Nealley's cloak fern	140
fer-5529	Schaffner's cloak fern	140
fer-5532	Star cloak fern	140
fer-5541	Rock fern	140
fer-5542	Belangers spleenwort	140
fer-5550	Silver Cloak fern	140
fer-5552	Woolly Cloak fern	140
fer-5568	Woolly Cloak fern	140
fer-5568	Bristly Cloak fern	140
fer-5576	Guanchen-Schuppenfarn (DE); Helecho de roca	140
fer-5576	helecho chico (ES)	140
fer-5598	Whitefoot Lipfern	140
fer-5620	Madeira-Schuppenfarn (DE); Culantrillo de risco (ES)	140
fer-5621	Zierlicher Schuppenfarn (DE); Doradilla fina (ES)	140
fer-5629	Mulga fern	140
fer-s.5629	Mulga fern	140
fer-5637	Korsischer Schuppenfarn (DE); Helecho de risco (ES)	140
fer-5638	Tirajana-Schuppenfarn (DE)	140
fer-5641	Green cliffbrake	140
fer-5659	Common maidenhair	140
fer-5659	true maidenhair	140
fer-5661	Aleutian Maidenhair Fern	140
