ID,ReferenceType,ReferenceID
380943,"Nomenclatural Reference",380943
380944,"Nomenclatural Reference",380944
380945,"Nomenclatural Reference",380945
380948,"Nomenclatural Reference",380948
380949,"Nomenclatural Reference",380949
380950,"Nomenclatural Reference",380950
380951,"Nomenclatural Reference",380951
380953,"Nomenclatural Reference",380953
380956,"Nomenclatural Reference",380956
380957,"Nomenclatural Reference",380957
380958,"Nomenclatural Reference",380958
380959,"Nomenclatural Reference",380959
380960,"Nomenclatural Reference",380960
380961,"Nomenclatural Reference",380961
380962,"Nomenclatural Reference",380962
380964,"Nomenclatural Reference",380964
380965,"Nomenclatural Reference",380965
380966,"Nomenclatural Reference",380966
380967,"Nomenclatural Reference",380967
380968,"Nomenclatural Reference",380968
380969,"Nomenclatural Reference",380969
380970,"Nomenclatural Reference",380970
380971,"Nomenclatural Reference",380971
380972,"Nomenclatural Reference",380972
380974,"Nomenclatural Reference",380974
380975,"Nomenclatural Reference",380975
380976,"Nomenclatural Reference",380976
380977,"Nomenclatural Reference",380977
380978,"Nomenclatural Reference",380978
380980,"Nomenclatural Reference",380980
380981,"Nomenclatural Reference",380981
380982,"Nomenclatural Reference",380982
380983,"Nomenclatural Reference",380983
380984,"Nomenclatural Reference",380984
380985,"Nomenclatural Reference",380985
380987,"Nomenclatural Reference",380987
380988,"Nomenclatural Reference",380988
380989,"Nomenclatural Reference",380989
380990,"Nomenclatural Reference",380990
380991,"Nomenclatural Reference",380991
380992,"Nomenclatural Reference",380992
380993,"Nomenclatural Reference",380993
380994,"Nomenclatural Reference",380994
380995,"Nomenclatural Reference",380995
380996,"Nomenclatural Reference",380996
380997,"Nomenclatural Reference",380997
380998,"Nomenclatural Reference",380998
380999,"Nomenclatural Reference",380999
381000,"Nomenclatural Reference",381000
381001,"Nomenclatural Reference",381001
381002,"Nomenclatural Reference",381002
381003,"Nomenclatural Reference",381003
381005,"Nomenclatural Reference",381005
381006,"Nomenclatural Reference",381006
381009,"Nomenclatural Reference",381009
381010,"Nomenclatural Reference",381010
381012,"Nomenclatural Reference",381012
381014,"Nomenclatural Reference",381014
381015,"Nomenclatural Reference",381015
381016,"Nomenclatural Reference",381016
381017,"Nomenclatural Reference",381017
381018,"Nomenclatural Reference",381018
381019,"Nomenclatural Reference",381019
381020,"Nomenclatural Reference",381020
381021,"Nomenclatural Reference",381021
381022,"Nomenclatural Reference",381022
381023,"Nomenclatural Reference",381023
381024,"Nomenclatural Reference",381024
381025,"Nomenclatural Reference",381025
381026,"Nomenclatural Reference",381026
381027,"Nomenclatural Reference",381027
381028,"Nomenclatural Reference",381028
381030,"Nomenclatural Reference",381030
381032,"Nomenclatural Reference",381032
381034,"Nomenclatural Reference",381034
381035,"Nomenclatural Reference",381035
381036,"Nomenclatural Reference",381036
381037,"Nomenclatural Reference",381037
381038,"Nomenclatural Reference",381038
381039,"Nomenclatural Reference",381039
381040,"Nomenclatural Reference",381040
381041,"Nomenclatural Reference",381041
381044,"Nomenclatural Reference",381044
381045,"Nomenclatural Reference",381045
381047,"Nomenclatural Reference",381047
381048,"Nomenclatural Reference",381048
381049,"Nomenclatural Reference",381049
381050,"Nomenclatural Reference",381050
381054,"Nomenclatural Reference",381054
381056,"Nomenclatural Reference",381056
381059,"Nomenclatural Reference",381059
