ReferenceID	Authors	Year	Title	Source
32355	Pearman, J. V.	1936	Two new psocids from Ceylon.	Ceylon Journal of Science, Section B, Zoology and Geology 20(1)
32356	Pearman, J. V.	1942	Third note on Psocoptera from warehouses.	Entomologist's Monthly Magazine 78
32357	Pearman, J. V.	1946	A specific characterization of Liposcelis divinatorius (Mueller) and mendax sp. n. (Psocoptera).	The Entomologist 79
32358	Pearman, J. V.	1951	Additional species of British Psocoptera.	Entomologist's Monthly Magazine 87
32361	Pearman, J. V.	1953	A new generic form allied to Sphaeropsocus Hagen (Psocoptera, Pachytroctidae).	Entomologist's Monthly Magazine 89
32365	Pearman, J. V.	1960	Some African Psocoptera found on rats.	The Entomologist 93
32372	Perkins	1899	Neuroptera.	Fauna Hawaiiensis., Cambridge University Press, Cambridge
32382	Pictet, F. J.	1854	Traité de paléontologie ou histoire naturelle des animaux fossiles considérés dans leur rapports zoologiques et géologiques. 2nd edn.	Traité de paléontologie ou histoire naturelle des animaux fossiles considérés dans leur rapports zoologiques et géologiques. 2nd edn., Paris
32410	Priesner	1926	Holz- und Bücherläuse (Copeognatha) aus Oberösterreich und Steiermark.	Jahrbuch des Öberösterreichischen Musealvereines 81
32413	Provancher	1876	Petite faune entomologique de Canada. Les Névroptères.	Naturaliste Canadien 8
32427	Rambur	1842	Histoire naturelle des insectes. Névroptères.	Histoire naturelle des insectes. Névroptères., Paris XVII+534 pp., 12 pls.
32434	Ray, K. K.	1979	Psocoptera of Calcutta and environs (West Bengal: India).	Records of the Zoological Survey of India 75
32435	Ray, K. K.	1984	Study on the collection of Psocoptera from certain parts of north eastern India and Bhutan.	Records of the Zoological Survey of India 81
32450	Reuter	1893	Corrodentia Fennica. I. Psocidae. Förteckning och beskrifning öfver Finlands Psocider.	Acta Societatis pro Fauna et Fauna Fennica 9(4)
32451	Reuter	1899	Anteckningar om Finska Psocider.	Acta Societatis pro Fauna et Flora Fennica 17(3)
32452	Reuter	1904	Neue Beiträge zur Kenntniss der Copeognathen Finnlands.	Acta Societatis pro Fauna et Flora Fennica 26(9)
32453	Reuter	1909	Mitteilungen über einige finländische Copeognathen.	Meddelanden af Societas pro Fauna et Flora Fennica 35
32455	Ribaga	1899	Descrizione di un nuovo genere e di una nuova specie di Psocidi trovato in Italia.	Rivista di Patologia Vegetale 8
32456	Ribaga	1900	Una specie nuova dei Psocide trovata in Italia.	Rivista di Patologia Vegetale 8
32460	Ribaga	1904	Sul genere Ectopsocus MacLachl. e descrizione di una nuova varietà dell' Ectopsocus briggsi MacLachl.	Redia 1
32462	Ribaga	1905	Descrizione di nuovi Copeognati.	Redia 2
32463	Ribaga	1907	Copeognati nuovi.	Redia 4
32464	Ribaga	1908	Un nuovo Copeognato dell' Isola di Giava.	Redia 5
32465	Ribaga	1908	Copeognati eastraeuropei del Museo Civico di Storia Naturale di Genova.	Redia 5
32466	Ribaga	1910	Anisopsocus lichenophilus nuovo Copeognato trovato in Italia.	Redia 6
32467	Ribaga	1911	Nuovi Copeognati sudafricani.	Redia 7
32488	Roesler	1935	Zur Kenntnis der mecklenburgischen Fauna. VII. 22. Die Copeognathen Mecklenburgs.	Archiv des Vereins der Freunde der Naturgeschichte in Mecklenburg, Neue Folge 9
32491	Roesler	1939	Beiträge zur Kenntnis der Copeognathenfauna Deutschlands.	Zoologischer Anzeiger 125((7/8))
32492	Roesler	1939	"Trichadenotecnum incognitum nov. spec., eine neue deutsche Psocide."	Zoologischer Anzeiger 127((3/4))
32493	Roesler	1940	Neue und wenig bekannte Copeognathengattungen. I.	Zoologischer Anzeiger 129(9/10):225-243
32494	Roesler	1940	Neue und wenig bekannte Copeognathengattungen. II.	Zoologischer Anzeiger 130(1/2):1-24
