ReferenceID	Authors	Year	Title	Source
15798	Stark	2004	New species and records of Andean Anacroneuria (Insecta, Plecoptera, Perlidae)	Spixiana 27(1):67-81
15799	Stark & Baumann	2004	The winter stonefly genus Paracapnia (Plecoptera: Capniidae)	Monographs of the Western North American Naturalist 2:96-108
15800	Stark & Kondratieff	2004	Anacroneuria from Mexico and upper Mesoamerica (Plecoptera: Perlidae)	Monographs of the Western North American Naturalist 2:1-64
15801	Stark & Gustafson	2004	New species and records of Soliperla Ricker, 1952 from western North America (Insecta, Plecoptera, Peltoperlidae)	Spixiana 27(2):97-105
15802	Surdick	2004	Chloroperlidae (the sallflies)	Bulletin of the Ohio Biological Survey (Bull.Ohio Biol.Surv.) 14(4):1-60
15803	Bispo & Froehlich	2004	Anacroneuria (Plecoptera: Perlidae) from Serra da Mesa, northern Goias State, Brazil, with descriptions of new species	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 26(3-4):191-197
15804	Vinçon & Zhiltzova	2004	The genus Protonemura in Turkey (Plecoptera, Nemouridae)	Nouvelle Revue d'Entomologie (Nouv. Rev. Entomol.) 21(2):171-195
15805	Kondratieff & Kirchner	2004	Alloperla lenati, a new species of stonefly from North Carolina (Plecoptera: Chloroperlidae) and two new state records (Plecoptera: Perlodidae)	Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 97(3):361-363
15806	Kondratieff & Zuellig	2004	A new species of Zealeuctra Ricker (Plecoptera: Leuctridae) and confirmation of Hydroperla fugitans (Needham and Claassen) (Plecoptera: Perlodidae) from Texas	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 106(4):840-843
15807	Yang, D., Weihai Li & F. Zhu	2004	Two new species of Rhopalopsole (Plecoptera: Leuctridae) from China	Entomological News (Ent. News) 115(5):279-282
15808	Szczytko & Stewart	2004	Isoperla muir, a new species of western Nearctic Isoperla and a new larval description of Isoperla tilasqua Szczytko and Stewart, (Plecoptera: Isoperlinae)	Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 130(2-3):233-243
15809	Zenger & Baumann	2004	The holarctic winter stonefly genus Isocapnia, with an emphasis on the North American fauna (Plecoptera: Capniidae)	Monographs of the Western North American Naturalist 2:65-95
15810	Froehlich	2004	Anacroneuria (Plecoptera: Perlidae) from the Boraceia Biological Station, Sao Paulo State, Brazil	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 26(1):53-63
15811	Grubbs & Stark	2004	Acroneuria covelli (Plecoptera: Perlidae), a new stonefly species from eastern North America.  	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 106(4):797-800
